github.com/AlDanial/cloc v 1.76  T=1.81 s (132.8 files/s, 18626.4 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                           216           4212           2335          26337
Maven                           10             29              1            533
Bourne Shell                     5             27              6             82
XML                              3             12             22             42
Markdown                         1              7              0             14
DOS Batch                        2              3              3              5
JSON                             3              0              0              3
-------------------------------------------------------------------------------
SUM:                           240           4290           2367          27016
-------------------------------------------------------------------------------
