github.com/AlDanial/cloc v 1.76  T=1.86 s (336.9 files/s, 24303.2 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
XML                            481           2845           5081          17812
Java                           118           2779           1677          14816
Groovy                           8             25              3            173
Markdown                         1              9              0             25
JSON                            18              0              0             18
ProGuard                         2              4             30              0
-------------------------------------------------------------------------------
SUM:                           628           5662           6791          32844
-------------------------------------------------------------------------------
