github.com/AlDanial/cloc v 1.76  T=7.25 s (256.9 files/s, 66182.4 lines/s)
---------------------------------------------------------------------------------------
Language                             files          blank        comment           code
---------------------------------------------------------------------------------------
C                                      726          57156          31549         257636
C/C++ Header                           571          10795          14200          54560
CMake                                  351           3220           5173          11599
Objective C                             57           2397           1221           9785
Java                                    40           1619           1269           7935
XML                                     59            372            386           3348
HTML                                    21            949              0           2063
Bourne Shell                            10            103             17            648
Markdown                                 6             97              0            307
Bourne Again Shell                       5             56             70            285
Perl                                     1             45             26            232
CSS                                      2             38              6            203
Groovy                                   4             15              1            113
DOS Batch                                1             24              2             64
YAML                                     1              7              0             47
make                                     1             11              0             39
Python                                   1             15             17             32
Windows Module Definition                1              0              0             13
JSON                                     4              0              0              4
---------------------------------------------------------------------------------------
SUM:                                  1862          76919          53937         348913
---------------------------------------------------------------------------------------
