github.com/AlDanial/cloc v 1.76  T=0.15 s (344.5 files/s, 21115.3 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                            10            382              3           1442
XML                             25            230            107            825
Groovy                           3             11              1             59
HTML                             1              6              0             39
YAML                             2              4              0             25
Markdown                         1              7              0             22
JSON                             9              0              0              9
ProGuard                         1              3             10              2
-------------------------------------------------------------------------------
SUM:                            52            643            121           2423
-------------------------------------------------------------------------------
