github.com/AlDanial/cloc v 1.76  T=9.75 s (126.5 files/s, 20906.6 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
HTML                           621            270          21965         105107
Java                           490           7560          16266          43348
XML                             64            383            859           5502
Maven                            8             79            116           1126
CSS                             10             13             80            731
Markdown                         3             43              0            113
YAML                             2             18             24             77
JavaScript                       3              1             46             33
JSON                            32              0              0             32
-------------------------------------------------------------------------------
SUM:                          1233           8367          39356         156069
-------------------------------------------------------------------------------
