github.com/AlDanial/cloc v 1.76  T=11.60 s (62.6 files/s, 78006.3 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
PO File                         24         153072         173410         450318
JSON                           298              0              0          84727
Java                           198           3422            743          21740
XML                            150           1490            412          10393
JavaScript                      32            302             65           2534
HTML                            15             58              0           1765
Markdown                         3             44              0            145
CSS                              3             14             11             83
Bourne Shell                     3              6              2             20
-------------------------------------------------------------------------------
SUM:                           726         158408         174643         571725
-------------------------------------------------------------------------------
