github.com/AlDanial/cloc v 1.76  T=0.08 s (207.8 files/s, 14460.0 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                             7            127            156            548
XML                              5             38             73            111
Ant                              1             17             59             16
YAML                             1              5             14              8
Markdown                         1              3              0              6
JSON                             2              0              0              2
-------------------------------------------------------------------------------
SUM:                            17            190            302            691
-------------------------------------------------------------------------------
