github.com/AlDanial/cloc v 1.76  T=6.50 s (186.6 files/s, 79305.8 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
XML                            728           1507           2641         448938
Java                           371           8900           4638          40211
C++                              9            196            347           3041
HTML                             3             45             96           2289
C/C++ Header                    10             73            118            714
Groovy                          22            153             15            646
Bourne Shell                    11             63             40            367
YAML                             2             48              0            186
DOS Batch                        1             23              2             59
Markdown                         2             21              0             54
JSON                            50              0              0             50
Python                           2             20              7             44
make                             2              4              0             21
-------------------------------------------------------------------------------
SUM:                          1213          11053           7904         496620
-------------------------------------------------------------------------------
