github.com/AlDanial/cloc v 1.76  T=1.16 s (331.7 files/s, 101104.3 lines/s)
-----------------------------------------------------------------------------------
Language                         files          blank        comment           code
-----------------------------------------------------------------------------------
C++                                124          10844           3767          43486
C/C++ Header                       157           6943           7482          35436
make                                89           1348            206           3682
C                                    1            277            219           1976
Java                                 2            155            136            786
Python                               2             37             35            147
Windows Resource File                1             33             39             63
XML                                  3              7              3             43
Bourne Shell                         3             16             19             32
m4                                   1              7              0             27
Ant                                  1             17             60             16
JSON                                 1              0              0              1
-----------------------------------------------------------------------------------
SUM:                               385          19684          11966          85695
-----------------------------------------------------------------------------------
