github.com/AlDanial/cloc v 1.76  T=3.06 s (194.0 files/s, 29617.1 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                           361           8167           6371          47387
XML                            173            846           1603          24265
Python                           1              4              0            450
Markdown                         4            105              0            446
Groovy                           4             47             12            338
Bourne Shell                     3             25             24            157
HTML                             1             29              0             81
DOS Batch                        1             23              2             59
JSON                            42              0              0             42
YAML                             2             11              1             41
ProGuard                         1              2             15              0
-------------------------------------------------------------------------------
SUM:                           593           9259           8028          73266
-------------------------------------------------------------------------------
