github.com/AlDanial/cloc v 1.76  T=0.31 s (632.1 files/s, 45578.4 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                            75           1445            337           7832
XML                            104            426            228           3110
Groovy                           4             22              2            179
Bourne Shell                     1             21             22            129
Kotlin                           6             25              0            122
Markdown                         2             31              0             73
DOS Batch                        1             23              2             59
YAML                             1             11              8             23
JSON                             2              0              0              2
-------------------------------------------------------------------------------
SUM:                           196           2004            599          11529
-------------------------------------------------------------------------------
