github.com/AlDanial/cloc v 1.76  T=0.77 s (367.6 files/s, 42739.0 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                           142           4194           2644          20383
XML                            127            594             46           4435
Bourne Shell                     1             21             22            129
Kotlin                           6             17              0             64
Groovy                           3             10              0             63
Markdown                         2             23              0             59
DOS Batch                        1             23              2             59
-------------------------------------------------------------------------------
SUM:                           282           4882           2714          25192
-------------------------------------------------------------------------------
