github.com/AlDanial/cloc v 1.76  T=0.45 s (336.0 files/s, 33581.6 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                            91           1769           1555           8331
XML                             52            355            175           2483
Bourne Shell                     1             21             22            129
DOS Batch                        1             23              2             59
Groovy                           1             12              3             45
JSON                             3              0              0              6
Markdown                         1              1              0              3
-------------------------------------------------------------------------------
SUM:                           150           2181           1757          11056
-------------------------------------------------------------------------------
