github.com/AlDanial/cloc v 1.76  T=0.74 s (615.3 files/s, 60923.7 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                           236           5990           3436          23456
XML                            199            246             40          11212
Bourne Shell                    14             43             24            214
Groovy                           3             25              0            155
Markdown                         1             23              0             72
DOS Batch                        1             23              2             59
Haskell                          1              9              0             26
-------------------------------------------------------------------------------
SUM:                           455           6359           3502          35194
-------------------------------------------------------------------------------
