github.com/AlDanial/cloc v 1.76  T=0.15 s (316.0 files/s, 51409.7 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                            13            669           2068           2686
XML                             22            122              8           1358
AsciiDoc                         1             85              2            149
Bourne Shell                     2             24             22            146
Python                           1             24             19             98
Markdown                         2             37              0             91
Groovy                           3             15             10             77
DOS Batch                        1             23              2             59
ProGuard                         1              3              4              7
JSON                             2              0              0              2
-------------------------------------------------------------------------------
SUM:                            48           1002           2135           4673
-------------------------------------------------------------------------------
