github.com/AlDanial/cloc v 1.76  T=5.80 s (6.0 files/s, 644.9 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                            11            337            230           1429
Python                           9            211            142            679
XML                             12             51            192            302
Bourne Shell                     1              8             17             38
Ant                              1             18             71             12
JSON                             1              0              0              1
-------------------------------------------------------------------------------
SUM:                            35            625            652           2461
-------------------------------------------------------------------------------
