github.com/AlDanial/cloc v 1.76  T=0.12 s (425.5 files/s, 22197.0 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                            15            127              0            799
C++                              9            120              0            774
C/C++ Header                    12             54              0            184
XML                              4              6              0            135
Bourne Shell                     1             21             22            129
DOS Batch                        1             23              2             59
Markdown                         1              9              0             21
Groovy                           1              5              0             21
Python                           1              3              0             20
CMake                            2              4              0             16
JSON                             2              0              0              2
-------------------------------------------------------------------------------
SUM:                            49            372             24           2160
-------------------------------------------------------------------------------
